,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
0,Pageboy: A Memoir,27.89,288,Hardcover,English,"June 06, 2023",Flatiron Books,Elliot Page,5.6 X 8.6 X 1.2 inches | 0.8 pounds,Entertainment & Performing Arts   Personal Memoirs   LGBT   
1,Safe and Sound: A Renter-Friendly Guide to Home Repair,23.24,224,Hardcover,English,"August 22, 2023",DK Publishing (Dorling Kindersley),Mercury Stardust,0.0 X 0.0 X 0.0 inches | 1.25 pounds,LGBT   Maintenance & Repair   Reference   
2,Let This Radicalize You: Organizing and the Revolution of Reciprocal Care,16.69,296,Paperback,English,"May 16, 2023",Haymarket Books,Kelly Hayes,5.5 X 8.4 X 0.8 inches | 0.85 pounds,"Political Ideologies - Radicalism   Feminism & Feminist Theory   Future Studies   Activism & Social Justice   Cultural, Ethnic & Regional - African American & Black   African American   "
3,Quietly Hostile: Essays,15.81,304,Paperback,English,"May 16, 2023",Vintage,Samantha Irby,5.1 X 7.9 X 0.8 inches | 0.5 pounds,Personal Memoirs   Form - Essays   Essays   
4,Demon Copperhead: A Pulitzer Prize Winner,30.23,560,Hardcover,English,"October 18, 2022",Harper,Barbara Kingsolver,6.4 X 8.9 X 1.7 inches | 1.94 pounds,Literary   Coming of Age   Small Town & Rural   Southern   Historical - General   
5,This Is How You Lose the Time War,15.80,224,Paperback,English,"March 17, 2020",Gallery / Saga Press,Amal El-Mohtar,5.4 X 8.2 X 0.6 inches | 0.4 pounds,Fantasy - General   Romance - Science Fiction   Science Fiction - Time Travel   
6,The Covenant of Water (Oprah's Book Club),29.76,736,Hardcover,English,"May 02, 2023",Grove Press,Abraham Verghese,6.4 X 9.1 X 2.3 inches | 2.02 pounds,Literary   Medical   Family Life - General   World Literature - India - General   
7,"The Wager: A Tale of Shipwreck, Mutiny and Murder",27.90,352,Hardcover,English,"April 18, 2023",Doubleday Books,David Grann,6.38 X 9.51 X 1.42 inches | 1.5 pounds,Europe - Great Britain - Georgian Era (1714-1837)   Maritime History & Piracy   Murder - Mass Murder   General   
8,Braiding Sweetgrass,18.60,408,Paperback,English,"August 11, 2015",Milkweed Editions,Robin Wall Kimmerer,5.4 X 8.4 X 1.0 inches | 1.15 pounds,Ecology   Essays   Ethnic Studies - Native American Studies   Plants - General   Life Sciences - Botany   Life Sciences - Ecology   Philosophy & Social Aspects   Anthropology - Cultural & Social   
9,Trust (Pulitzer Prize Winner),26.04,416,Hardcover,English,"May 03, 2022",Riverhead Books,Hernan Diaz,6.4 X 9.0 X 1.4 inches | 1.36 pounds,Historical - General   Literary   Family Life - Marriage & Divorce   
10,Raw Dog: The Naked Truth about Hot Dogs,25.10,320,Hardcover,English,"May 23, 2023",Forge,Jamie Loftus,5.7 X 8.54 X 1.13 inches | 0.86 pounds,Essays & Narratives   General   History   Agriculture & Food   Essays & Travelogues   Topic - Celebrity & Popular Culture   
11,Not Too Late: Changing the Climate Story from Despair to Possibility,15.76,200,Paperback,English,"April 04, 2023",Haymarket Books,Thelma Young Lutunatabua,5.2 X 7.4 X 0.8 inches | 0.6 pounds,Activism & Social Justice   Public Policy - Environmental Policy   Global Warming & Climate Change   Environmental Science (see also Chemistry - Environmental)   Disasters & Disaster Relief   
12,"Tomorrow, and Tomorrow, and Tomorrow",26.04,416,Hardcover,English,"July 05, 2022",Knopf Publishing Group,Gabrielle Zevin,6.5 X 9.6 X 1.6 inches | 1.7 pounds,Action & Adventure   Literary   Romance - Contemporary   Cultural Heritage   Friendship   
13,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,15.81,416,Paperback,English,"April 03, 2018",Vintage,David Grann,5.1 X 7.9 X 0.9 inches | 0.86 pounds,United States - 20th Century   Murder - General   Native American   
14,Scaling People: Tactics for Management and Company Building,27.90,480,Hardcover,English,"March 07, 2023",Stripe Press,Claire Hughes Johnson,6.3 X 9.3 X 1.6 inches | 2.3 pounds,Leadership   Management - General   Organizational Development   Workplace Culture   
15,Outlive: The Science and Art of Longevity,29.76,496,Hardcover,English,"March 28, 2023",Harmony,Peter Attia,7.3 X 9.1 X 1.6 inches | 1.85 pounds,Diseases - General   Longevity   Aging   Life Sciences - Human Anatomy & Physiology   Physiology   
16,"Poverty, by America",26.04,304,Hardcover,English,"March 21, 2023",Crown Publishing Group (NY),Matthew Desmond,5.87 X 8.68 X 1.06 inches | 0.89 pounds,Public Policy - Social Policy   Poverty & Homelessness   Social Classes & Economic Disparity   
17,Crying in H Mart: A Memoir,25.06,256,Hardcover,English,"April 20, 2021",Knopf Publishing Group,Michelle Zauner,5.8 X 8.2 X 1.3 inches | 1.02 pounds,"Cultural, Ethnic & Regional - Asian & Asian American   Essays & Narratives   Death, Grief, Bereavement   "
18,On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,26.04,384,Hardcover,English,"May 23, 2023",Dial Press,Elise Loehnen,6.5 X 9.3 X 1.4 inches | 1.4 pounds,Women   Inspiration & Personal Growth   Women's Studies   Christian Living - General   
19,Yellowface,27.90,336,Hardcover,English,"May 16, 2023",William Morrow & Company,R. F. Kuang,6.3 X 9.1 X 1.3 inches | 1.05 pounds,Literary   Women   Satire   Asian American   Psychological   Thrillers - General   Cultural Heritage   
20,The Waldorf Astoria Bar Book,24.18,416,Hardcover,English,"May 17, 2016",Penguin Books,Frank Caiafa,5.8 X 8.3 X 1.3 inches | 1.1 pounds,Beverages - Alcoholic- General   Beverages - Alcoholic - Bartending   Entertaining - General   
21,Fourth Wing,27.89,528,Hardcover,English,"May 02, 2023",Entangled: Red Tower Books,Rebecca Yarros,6.35 X 9.24 X 1.36 inches | 1.62 pounds,Fantasy - Epic   Fantasy - Romantic   
22,"End Times: Elites, Counter-Elites, and the Path of Political Disintegration",26.04,368,Hardcover,English,"June 13, 2023",Penguin Press,Peter Turchin,6.42 X 9.81 X 1.27 inches | 1.31 pounds,Political Ideologies - Democracy   Anthropology - Cultural & Social   Future Studies   Political   
23,Democracy Awakening: Notes on the State of America,27.90,304,Hardcover,English,"September 26, 2023",Viking,Heather Cox Richardson,6.0 X 9.0 X 0.72 inches | 1.1 pounds,United States - General   Civics & Citizenship   Political Ideologies - Democracy   
24,Happy Place,25.11,400,Hardcover,English,"April 25, 2023",Berkley Books,Emily Henry,6.34 X 9.32 X 1.33 inches | 1.31 pounds,Romance - Romantic Comedy   Women   
25,The Book of Delights: Essays,23.20,288,Hardcover,English,"February 12, 2019",Algonquin Books,Ross Gay,5.2 X 7.2 X 1.2 inches | 0.64 pounds,"Essays   Inspiration & Personal Growth   Ethnic Studies - African American Studies   Cultural, Ethnic & Regional - African American & Black   Personal Memoirs   "
26,Lessons in Chemistry,26.97,400,Hardcover,English,"April 05, 2022",Doubleday Books,Bonnie Garmus,6.5 X 9.3 X 1.6 inches | 1.58 pounds,Humorous - General   Literary   Women   Feminist   
27,A Perfect Vintage,19.00,382,Paperback,English,"June 06, 2023",Orsay Press,Chelsea Fagan,5.5 X 8.5 X 0.85 inches | 1.07 pounds,Romance - Contemporary   Women   
28,The Guest,26.04,304,Hardcover,English,"May 16, 2023",Random House,Emma Cline,5.5 X 8.3 X 1.2 inches | 0.9 pounds,Literary   Psychological   Women   
29,The Late Americans,26.04,320,Hardcover,English,"May 23, 2023",Riverhead Books,Brandon Taylor,5.8 X 8.4 X 1.2 inches | 0.95 pounds,LGBT - Gay   Literary   Friendship   
30,The Anti-Communist Manifesto,26.96,336,Hardcover,English,"June 06, 2023",Threshold Editions,Jesse Kelly,5.7 X 8.5 X 1.3 inches | 0.92 pounds,American Government - General   Political Ideologies - Conservatism & Liberalism   
31,The Good Enough Job: Reclaiming Life from Work,26.04,272,Hardcover,English,"May 23, 2023",Portfolio,Simone Stolzoff,5.9 X 8.49 X 0.97 inches | 0.82 pounds,Workplace Culture   Personal Success   Personal Growth - Success   Anthropology - Cultural & Social   
32,Fight Like Hell: The Untold History of American Labor,26.04,448,Hardcover,English,"April 26, 2022",Atria/One Signal Publishers,Kim Kelly,6.36 X 9.26 X 1.53 inches | 1.38 pounds,United States - General   Social Classes & Economic Disparity   Labor - Unions   Economic History   
33,The Art of Gathering: How We Meet and Why It Matters,16.74,320,Paperback,English,"April 14, 2020",Riverhead Books,Priya Parker,5.4 X 8.2 X 0.9 inches | 0.65 pounds,Personal Growth - General   Leadership   Interpersonal Relations   Sociology - General   
34,Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,29.75,336,Hardcover,English,"June 13, 2023",Metropolitan Books,Jennifer Pahlka,6.4 X 9.1 X 1.3 inches | 1.15 pounds,Social Aspects   Public Policy - Social Services & Welfare   Public Policy - Science & Technology Policy   Technology Studies   Public Affairs & Administration   
35,"The Glucose Goddess Method: The 4-Week Guide to Cutting Cravings, Getting Your Energy Back, and Feeling Amazing",32.55,288,Hardcover,English,"May 02, 2023",S&s/Simon Element,Jessie Inchauspe,7.3 X 9.2 X 0.9 inches | 1.9 pounds,Health & Healing - Diabetic & Sugar Free   Diet & Nutrition - Diets   Diet & Nutrition - Weight Loss   
36,A Renaissance of Our Own: A Memoir & Manifesto on Reimagining,26.96,256,Hardcover,English,"May 16, 2023",Ballantine Books,Rachel E Cargle,5.9 X 8.4 X 1.2 inches | 0.85 pounds,Personal Memoirs   Personal Growth - General   Race & Ethnic Relations   Anthropology - Cultural & Social   
37,"Management in a Changing World: How to Manage for Equity, Sustainability, and Results",29.76,256,Paperback,English,"May 16, 2023",Wiley,Bex Ahuja,7.42 X 9.22 X 0.7 inches | 0.81 pounds,Nonprofit Organizations & Charities - General   Leadership   
38,Strangers from a Different Shore: A History of Asian Americans Au Of... (Revised),17.66,640,Paperback,English,"September 23, 1998",Back Bay Books,Ronald Takaki,5.47 X 1.02 X 8.24 inches | 1.17 pounds,Asia - General   
39,Fortitude: A PTSD Memoir,13.94,260,Paperback,English,"September 30, 2015",Apryl E Pooley,Apryl E. Pooley,5.5 X 8.5 X 0.59 inches | 0.73 pounds,Women   Personal Memoirs   LGBT   
40,How Beautiful We Were,16.74,384,Paperback,English,"February 01, 2022",Random House Trade,Imbolo Mbue,5.2 X 8.0 X 0.9 inches | 0.6 pounds,Literary   Cultural Heritage   African American - General   Family Life - General   
41,Big Heart Little Stove: Bringing Home Meals & Moments from the Lost Kitchen,35.34,304,Hardcover,English,"October 31, 2023",Celadon Books,Erin French,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Entertaining - General   Garnishing & Food Presentation   Courses & Dishes - General   Individual Chefs & Restaurants   
42,Camp Damascus,24.17,256,Hardcover,English,"July 18, 2023",Tor Nightfire,Chuck Tingle,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Fantasy - Paranormal   Horror - General   Small Town & Rural   
43,Tough Titties: On Living Your Best Life When You're the F-Ing Worst,26.04,320,Hardcover,English,"June 13, 2023",Hachette Books,Laura Belgray,5.85 X 8.64 X 1.06 inches | 0.94 pounds,Personal Memoirs   Form - Essays   Personal Growth - Success   
44,Gender Queer: A Memoir,18.59,240,Paperback,English,"May 28, 2019",Oni Press,Maia Kobabe,5.6 X 8.2 X 0.8 inches | 1.04 pounds,Nonfiction - Biography & Memoir   LGBT   LGBT   
45,We Are Not Strangers,23.24,208,Hardcover,English,"September 12, 2023",Abrams Comicarts,Josh Tuininga,0.0 X 0.0 X 0.0 inches | 0.0 pounds,"Literary   Historical Fiction   United States - State & Local - Pacific Northwest (OR, WA)   Judaism - General   "
46,Tenderheart: A Cookbook about Vegetables and Unbreakable Family Bonds,37.20,528,Hardcover,English,"May 30, 2023",Knopf Publishing Group,Hetty Lui McKinnon,8.0 X 11.1 X 1.5 inches | 4.75 pounds,Regional & Ethnic - Chinese   Vegetarian   Vegan   
47,The Narrow Road Between Desires,24.18,240,Hardcover,English,"November 14, 2023",Daw Books,Patrick Rothfuss,0.0 X 0.0 X 0.0 inches | 1.25 pounds,Fantasy - Epic   Fantasy - Dark Fantasy   Fantasy - Action & Adventure   
48,Maus I: A Survivor's Tale: My Father Bleeds History,15.76,160,Paperback,English,"August 12, 1986",Pantheon Books,Art Spiegelman,6.5 X 9.0 X 0.6 inches | 0.92 pounds,Jewish - General   Historical   Military - World War II   History - General   Personal Memoirs   Nonfiction - General   Holocaust   
49,"Mother, Nature: A 5,000-Mile Journey to Discover If a Mother and Son Can Survive Their Differences",25.11,240,Hardcover,English,"November 07, 2023",Convergent Books,Jedidiah Jenkins,0.0 X 0.0 X 0.0 inches | 1.25 pounds,Personal Memoirs   LGBT   Special Interest - Adventure   
50,You Could Make This Place Beautiful: A Memoir,26.04,320,Hardcover,English,"April 11, 2023",Atria/One Signal Publishers,Maggie Smith,6.37 X 9.27 X 1.24 inches | 1.03 pounds,Personal Memoirs   Parenting - Motherhood   Inspiration & Personal Growth   Entertainment & Performing Arts   
51,Old Enough,25.11,336,Hardcover,English,"June 20, 2023",Dutton,Haley Jakobson,6.3 X 9.0 X 1.2 inches | 1.2 pounds,Coming of Age   Friendship   LGBT - Bisexual   
52,"Bad Manners: Hungry as Hell: Meals to Live By, Flavor to Die For: A Vegan Cookbook",25.10,240,Hardcover,English,"October 31, 2023",Rodale Books,Bad Manners,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Regional & Ethnic - American - General   Vegetarian   Vegan   
53,Black Earth Wisdom: Soulful Conversations with Black Environmentalists,25.10,352,Hardcover,English,"February 28, 2023",Amistad Press,Leah Penniman,6.38 X 9.4 X 1.24 inches | 1.08 pounds,Environmental Conservation & Protection - General   Healing - Prayer & Spiritual   Nature Therapy   Ethnic Studies - African American Studies   Agriculture & Food   Environmental Science (see also Chemistry - Environmental)   
54,Our History Has Always Been Contraband: In Defense of Black Studies,18.55,220,Paperback,English,"July 04, 2023",Haymarket Books,Colin Kaepernick,6.1 X 9.0 X 0.6 inches | 0.7 pounds,African American   Ethnic Studies - African American Studies   Activism & Social Justice   
55,Paved Paradise: How Parking Explains the World,27.90,368,Hardcover,English,"May 09, 2023",Penguin Press,Henry Grabar,6.38 X 9.48 X 1.31 inches | 1.31 pounds,Development - Sustainable Development   Sociology - Urban   Automotive - General   
56,"Red, White & Royal Blue",15.80,448,Paperback,English,"May 14, 2019",St. Martin's Griffin,Casey McQuiston,5.4 X 8.2 X 1.2 inches | 0.84 pounds,Romance - LGBT - Gay   Romance - Romantic Comedy   Romance - Royalty   
57,My Own Magic: A Reappearing ACT,26.96,288,Hardcover,English,"May 16, 2023",Harper Horizon,Anna Kloots,5.98 X 9.06 X 1.18 inches | 0.95 pounds,Entertainment & Performing Arts   Personal Memoirs   Essays & Travelogues   Divorce & Separation   
58,Chain Gang All Stars,25.11,384,Hardcover,English,"May 02, 2023",Pantheon Books,Nana Kwame Adjei-Brenyah,6.3 X 9.0 X 1.5 inches | 1.55 pounds,Literary   Political   African American - General   Dystopian   
59,Maus I & II Paperback Box Set,31.53,2,Boxed Set,English,"October 19, 1993",Pantheon Books,Art Spiegelman,6.7 X 9.5 X 1.1 inches | 1.95 pounds,Holocaust   Literary Figures   Personal Memoirs   
60,King: A Life,32.55,688,Hardcover,English,"May 16, 2023","Farrar, Straus and Giroux",Jonathan Eig,6.39 X 9.51 X 2.13 inches | 2.21 pounds,Social Activists   United States - 20th Century   Ethnic Studies - African American Studies   Civil Rights   
61,"Women We Buried, Women We Burned: A Memoir",26.97,272,Hardcover,English,"May 23, 2023",Bloomsbury Publishing,Rachel Louise Snyder,6.4 X 9.3 X 1.2 inches | 1.15 pounds,"Personal Memoirs   Women   Death, Grief, Bereavement   "
62,Better Living Through Birding: Notes from a Black Man in the Natural World,26.04,304,Hardcover,English,"June 13, 2023",Random House,Christian Cooper,5.8 X 8.4 X 1.3 inches | 0.9 pounds,Personal Memoirs   Animals - Birds   LGBT Studies - Gay Studies   
63,The Celebrants,26.04,320,Hardcover,English,"May 30, 2023",G.P. Putnam's Sons,Steven Rowley,6.14 X 9.06 X 1.18 inches | 1.1 pounds,Literary   Family Life - General   LGBT - General   
64,The Great Escape: A True Story of Forced Labor and Immigrant Dreams in America,26.04,368,Hardcover,English,"January 24, 2023",Algonquin Books,Saket Soni,6.3 X 9.0 X 1.5 inches | 1.15 pounds,Social Activists   Labor   Public Policy - Immigration   
65,How a Mountain Was Made: Stories,16.74,312,Paperback,English,"March 05, 2019",Heyday Books,Greg Sarris,5.4 X 7.4 X 0.9 inches | 0.8 pounds,Personal Memoirs   Native American   Native American   General   American - General   Folklore & Mythology   
66,The House in the Cerulean Sea,17.66,416,Paperback,English,"December 29, 2020",Tor Books,Tj Klune,5.4 X 8.2 X 1.2 inches | 0.8 pounds,Fantasy - Contemporary   Fantasy - Humorous   LGBT - Gay   
67,"Emergent Strategy: Shaping Change, Changing Worlds",14.88,280,Paperback,English,"April 18, 2017",AK Press,Adrienne Maree Brown,5.0 X 7.9 X 0.7 inches | 0.65 pounds,Political Ideologies - Radicalism   Feminism & Feminist Theory   
68,"Deep as the Sky, Red as the Sea",26.96,304,Hardcover,English,"May 30, 2023",Bloomsbury Publishing,Rita Chang-Eppig,6.39 X 9.54 X 1.14 inches | 1.25 pounds,Action & Adventure   Historical - General   Literary   Sagas   Sea Stories   Asian American   
69,Small Mercies,27.90,320,Hardcover,English,"April 25, 2023",Harper,Dennis Lehane,6.4 X 8.9 X 1.3 inches | 1.0 pounds,Literary   Mystery & Detective - Amateur Sleuth   Thrillers - Suspense   
70,This Time Tomorrow,26.04,320,Hardcover,English,"May 17, 2022",Riverhead Books,Emma Straub,6.1 X 9.1 X 1.3 inches | 1.1 pounds,Science Fiction - Time Travel   Women   Family Life - General   
71,On Earth We're Briefly Gorgeous,16.74,256,Paperback,English,"June 01, 2021",Penguin Books,Ocean Vuong,5.0 X 7.6 X 0.9 inches | 0.46 pounds,Literary   Cultural Heritage   LGBT - General   Coming of Age   Asian American   
72,Project 562: Changing the Way We See Native America,46.50,416,Hardcover,English,"April 25, 2023",Ten Speed Press,Matika Wilbur,10.24 X 10.08 X 1.42 inches | 4.88 pounds,"Cultural, Ethnic & Regional - Native American & Aboriginal   Native American   Subjects & Themes - Portraits & Selfies   Native American   "
73,My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies,16.69,300,Paperback,English,"September 19, 2017",Central Recovery Press,Resmaa Menakem,5.9 X 8.9 X 1.1 inches | 0.9 pounds,"Social Psychology   Psychopathology - Post-Traumatic Stress Disorder (PTSD)   Discrimination & Race Relations   Cultural, Ethnic & Regional - General   Prejudice   "
74,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,29.76,256,Hardcover,English,"July 25, 2023",DK Publishing (Dorling Kindersley),B. Dylan Hollis,0.0 X 0.0 X 0.0 inches | 1.25 pounds,Methods - Baking   Courses & Dishes - Desserts   
75,"Birdie & Harlow: Life, Loss, and Loving My Dog So Much I Didn't Want Kids (...Until I Did)",26.96,272,Hardcover,English,"September 19, 2023",HarperOne,Taylor Wolfe,0.0 X 0.0 X 0.0 inches | 1.0 pounds,Personal Memoirs   Parenting - Motherhood   Topic - Marriage & Family   Essays & Narratives   Personal Growth - Happiness   
76,At the Table: The Chef's Guide to Advocacy,29.76,216,Paperback,English,"September 28, 2023",Island Press,Katherine Miller,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Industries - Food Industry   Essays & Narratives   Agriculture & Food   
77,A Psalm for the Wild-Built,19.52,160,Hardcover,English,"July 13, 2021",Tordotcom,Becky Chambers,5.2 X 7.9 X 0.9 inches | 0.5 pounds,Science Fiction - Action & Adventure   Science Fiction - Apocalyptic & Post-Apocalyptic   
78,"Good Night, Irene",26.97,416,Hardcover,English,"May 30, 2023",Little Brown and Company,Luis Alberto Urrea,5.9 X 9.4 X 1.6 inches | 1.35 pounds,Historical - World War II   War & Military   Women   
79,Same Time Next Summer,15.81,320,Paperback,English,"June 06, 2023",G.P. Putnam's Sons,Annabel Monaghan,5.32 X 8.05 X 0.72 inches | 0.5 pounds,Romance - Contemporary   Women   Family Life - General   Coming of Age   
80,Maus II: A Survivor's Tale: And Here My Troubles Began,15.76,144,Paperback,English,"September 01, 1992",Pantheon Books,Art Spiegelman,6.42 X 9.12 X 0.41 inches | 0.77 pounds,Jewish - General   Historical   Military - World War II   Personal Memoirs   Nonfiction - General   Holocaust   
81,Healthygirl Kitchen: 100+ Plant-Based Recipes to Live Your Healthiest Life,29.76,256,Hardcover,English,"May 16, 2023",DK Publishing (Dorling Kindersley),Danielle Brown,8.19 X 10.08 X 1.1 inches | 2.85 pounds,Specific Ingredients - Natural Foods   Methods - Quick & Easy   Vegan   Vegetarian   
82,"Healing Justice Lineages: Dreaming at the Crossroads of Liberation, Collective Care, and Safety",16.69,320,Paperback,English,"February 07, 2023",North Atlantic Books,Cara Page,6.3 X 8.4 X 0.8 inches | 1.05 pounds,Public Policy - Social Policy   Ethnic Studies - African American Studies   Feminism & Feminist Theory   
83,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,26.03,560,Hardcover,English,"August 23, 2022",Harper Voyager,R. F. Kuang,6.31 X 9.24 X 1.76 inches | 1.58 pounds,"Fantasy - Historical   Literary   Alternative History   Fantasy - Epic   Fantasy - Dark Fantasy   Fairy Tales, Folk Tales, Legends & Mythology   "
84,All the Sinners Bleed,26.03,352,Hardcover,English,"June 06, 2023",Flatiron Books,S. a. Cosby,6.3 X 9.3 X 1.4 inches | 1.15 pounds,Thrillers - Crime   African American - Mystery & Detective   Southern   Small Town & Rural   
85,You Will Find Your People: How to Make Meaningful Friendships as an Adult,23.24,208,Hardcover,English,"April 25, 2023",Harry N. Abrams,Lane Moore,5.6 X 8.3 X 0.8 inches | 0.75 pounds,General   Friendship   Personal Growth - Happiness   
86,Sister Outsider: Essays and Speeches,15.80,192,Paperback,English,"August 01, 2007",Crossing Press,Audre Lorde,6.0 X 8.9 X 0.7 inches | 0.52 pounds,Essays   LGBT Studies - Lesbian Studies   Feminism & Feminist Theory   Ethnic Studies - African American Studies   Non-Classifiable   American - African American   LGBT   Women Authors   Civil Rights   Essays   Women's Studies   Gender Studies   Essays   Social Classes & Economic Disparity   
87,Birnam Wood,26.04,432,Hardcover,English,"March 07, 2023","Farrar, Straus and Giroux",Eleanor Catton,6.0 X 9.0 X 1.6 inches | 1.4 pounds,Literary   Thrillers - Psychological   Psychological   
88,The Lost Journals of Sacajewea,24.18,264,Hardcover,English,"May 23, 2023",Milkweed Editions,Debra Magpie Earling,5.6 X 8.6 X 1.1 inches | 0.95 pounds,Historical - General   Native American & Aboriginal   Own Voices   Literary   
89,The Postcard,26.04,464,Hardcover,English,"May 16, 2023",Europa Editions,Anne Berest,6.0 X 9.1 X 1.8 inches | 1.54 pounds,Historical - World War II   Jewish   World Literature - France - 20th Century   Literary   Biographical   Family Life - General   
90,Remarkably Bright Creatures: A Read with Jenna Pick,27.89,368,Hardcover,English,"May 03, 2022",Ecco Press,Shelby Van Pelt,6.2 X 9.1 X 1.5 inches | 1.1 pounds,Literary   Family Life - General   Animals   Humorous - General   Mystery & Detective - Cozy - Cats & Dogs   
91,Hello Beautiful (Oprah's Book Club),26.04,400,Hardcover,English,"March 14, 2023",Dial Press,Ann Napolitano,6.3 X 9.29 X 1.65 inches | 1.35 pounds,Literary   Women   Family Life - Siblings   
92,Homecoming,29.76,560,Hardcover,English,"April 04, 2023",Mariner Books,Kate Morton,6.4 X 9.1 X 1.8 inches | 1.56 pounds,Sagas   Historical - General   Literary   Women   World Literature - Australia   Mystery & Detective - Women Sleuths   Mystery & Detective - Historical   
93,Sea of Tranquility,23.25,272,Hardcover,English,"April 05, 2022",Knopf Publishing Group,Emily St John Mandel,5.6 X 8.4 X 1.1 inches | 1.0 pounds,Literary   Science Fiction - Apocalyptic & Post-Apocalyptic   Science Fiction - Time Travel   
94,Ink Blood Sister Scribe: A Good Morning America Book Club Pick,27.90,416,Hardcover,English,"May 30, 2023",William Morrow & Company,Emma Törzs,6.5 X 9.1 X 1.6 inches | 1.25 pounds,Fantasy - Contemporary   Women   Magical Realism   Family Life - General   
95,1964: Eyes of the Storm,69.75,336,Hardcover,English,"June 13, 2023",Liveright Publishing Corporation,Paul McCartney,10.01 X 11.49 X 1.24 inches | 4.62 pounds,"Music   Entertainment & Performing Arts   Genres & Styles - Rock   Individual Photographers - Artists' Books   Collections, Catalogs, Exhibitions - General   "
96,The Song of Significance: A New Manifesto for Teams,23.25,208,Hardcover,English,"May 30, 2023",Portfolio,Seth Godin,5.29 X 7.32 X 0.87 inches | 0.54 pounds,Management - General   Leadership   Organizational Behavior   
97,House of Leaves,24.18,736,Paperback,English,"March 07, 2000",Pantheon Books,Mark Z. Danielewski,6.6 X 9.51 X 1.47 inches | 2.54 pounds,Horror - General   Literary   Thrillers - Suspense   
98,Disability Visibility: First-Person Stories from the Twenty-First Century,15.81,336,Paperback,English,"June 30, 2020",Vintage,Alice Wong,5.2 X 8.0 X 0.75 inches | 0.55 pounds,People with Disabilities   Essays   People with Disabilities   
99,"The Shift: Change Your Perspective, Not Yourself",26.03,288,Hardcover,English,"May 23, 2023",Simon & Schuster,Tinx,5.88 X 8.67 X 1.02 inches | 0.84 pounds,Love & Romance   Topic - Celebrity & Popular Culture   Personal Growth - General   Personal Memoirs   
100,The Stonewall Reader,16.74,336,Paperback,English,"April 30, 2019",Penguin Group,Jason Baumann,5.2 X 7.7 X 0.9 inches | 0.58 pounds,LGBT Studies - General   LGBT   Social History   Civil Rights   
101,Charles Portis: Collected Works (Loa #369): Norwood / True Grit / The Dog of the South / Masters of Atlantis / Gringos / Stories & Other Writings,41.85,1216,Hardcover,English,"April 04, 2023",Library of America,Charles Portis,5.1 X 7.5 X 2.4 inches | 1.5 pounds,Short Stories (single author)   Westerns - General   Humorous - Black Humor   
102,Hidden Potential: The Science of Achieving Greater Things,29.76,304,Hardcover,English,"October 24, 2023",Viking,Adam Grant,6.0 X 9.0 X 0.81 inches | 1.19 pounds,Motivational   Personality   Personal Growth - General   
103,Salmon,14.88,188,Paperback,English,"May 09, 2023",Shabby Doll House,Sebastian Castillo,5.0 X 8.0 X 0.43 inches | 0.46 pounds,Action & Adventure   Literary   Sea Stories   
104,Blood Meridian: Or the Evening Redness in the West,15.81,368,Paperback,English,"May 05, 1992",Vintage,Cormac McCarthy,5.22 X 8.02 X 0.76 inches | 0.59 pounds,Historical - General   Literary   Westerns - General   
105,Mutual Aid: Building Solidarity During This Crisis (and the Next),13.90,128,Paperback,English,"October 27, 2020",Verso,Dean Spade,4.3 X 6.9 X 0.6 inches | 0.26 pounds,History & Theory - General   Commentary & Opinion   Sociology - Social Theory   
106,How We Got to Now: Six Innovations That Made the Modern World,,320,Paperback,English,"September 22, 2015",Riverhead Books,Steven Johnson,6.1 X 9.0 X 0.9 inches | 1.3 pounds,Technology - Inventions   Technology - How Things Work/Are Made   Science & Nature - Discoveries   Social History   History   Inventions   
107,I Will Teach You to Be Rich: No Guilt. No Excuses. Just a 6-Week Program That Works (Second Edition),15.80,352,Paperback,English,"May 14, 2019",Workman Publishing,Ramit Sethi,5.9 X 8.9 X 0.8 inches | 1.05 pounds,Personal Finance - General   Personal Success   
108,Rogue Justice: A Thriller,26.97,368,Hardcover,English,"May 23, 2023",Doubleday Books,Stacey Abrams,6.14 X 9.37 X 1.5 inches | 1.49 pounds,Thrillers - Suspense   Thrillers - Legal   
109,How to Do Nothing: Resisting the Attention Economy,17.66,256,Paperback,English,"December 29, 2020",Melville House Publishing,Jenny Odell,5.4 X 8.2 X 0.9 inches | 0.6 pounds,Commentary & Opinion   Social Aspects   Social Aspects   Digital   Information Technology   Environmental Conservation & Protection - General   
110,Translation State,26.97,432,Hardcover,English,"June 06, 2023",Orbit,Ann Leckie,6.37 X 9.49 X 1.46 inches | 1.43 pounds,Science Fiction - Space Opera   
