,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
1566,In the Distance,15.76,240,Paperback,English,"October 10, 2017",Coffee House Press,Hernan Diaz,5.5 X 8.2 X 0.9 inches | 0.75 pounds,Sagas   Literary   Westerns - General   Psychological   
1567,"Black Ball: Kareem Abdul-Jabbar, Spencer Haywood, and the Generation That Saved the Soul of the NBA",26.97,368,Hardcover,English,"March 07, 2023",Bold Type Books,Theresa Runstedtler,6.25 X 9.6 X 1.2 inches | 1.3 pounds,United States - 21st Century   Ethnic Studies - African American Studies   Basketball   
1568,The Heart's Invisible Furies,17.67,592,Paperback,English,"March 06, 2018",Hogarth Press,John Boyne,5.2 X 7.9 X 1.3 inches | 0.9 pounds,Family Life - General   Sagas   Coming of Age   
1569,Sing Her Down,26.04,288,Hardcover,English,"May 23, 2023",MCD,Ivy Pochoda,6.35 X 9.24 X 1.01 inches | 0.82 pounds,Thrillers - Crime   Westerns - General   Women   
1570,Shutter,24.13,312,Hardcover,English,"August 02, 2022",Soho Crime,Ramona Emerson,6.2 X 9.25 X 0.85 inches | 1.31 pounds,Ghost   Mystery & Detective - Women Sleuths   Native American & Aboriginal   
1571,The Righteous Mind: Why Good People Are Divided by Politics and Religion,16.74,528,Paperback,English,"February 12, 2013",Vintage,Jonathan Haidt,5.23 X 7.95 X 1.04 inches | 1.07 pounds,"Ethics & Moral Philosophy   Social Psychology   Religion, Politics & State   Political Ideologies - Conservatism & Liberalism   "
1572,The Librarianist,27.90,352,Hardcover,English,"July 04, 2023",Ecco Press,Patrick DeWitt,6.39 X 9.26 X 1.23 inches | 1.09 pounds,Humorous - General   Literary   Friendship   
1573,Dances,25.11,288,Hardcover,English,"May 16, 2023",One World,Nicole Cuffy,6.2 X 9.3 X 1.2 inches | 1.1 pounds,Literary   Women   African American - General   
1574,Fear and Loathing in Las Vegas,15.81,224,Paperback,English,"May 12, 1998",Vintage,Hunter S. Thompson,5.24 X 8.04 X 0.61 inches | 0.46 pounds,United States - 20th Century   Popular Culture   Journalism   American Government - General   
1575,"We Are Electric: Inside the 200-Year Hunt for Our Body's Bioelectric Code, and What the Future Holds",27.90,352,Hardcover,English,"February 28, 2023",Hachette Books,Sally Adee,6.34 X 9.33 X 1.17 inches | 1.19 pounds,Life Sciences - Cell Biology   Energy   Disease & Health Issues   Biotechnology   Philosophy & Social Aspects   Physiology   
1576,"Dilla Time: The Life and Afterlife of J Dilla, the Hip-Hop Producer Who Reinvented Rhythm",27.90,480,Hardcover,English,"February 01, 2022",MCD,Dan Charnas,6.0 X 9.0 X 1.7 inches | 1.42 pounds,Genres & Styles - Rap & Hip Hop   Individual Composer & Musician   Genres & Styles - Jazz   Music   General   
